RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,RegionFullName
7482,2832,Tukwila,city,WA,WA,"Seattle-Tacoma-Bellevue, WA",King County,Tukwila.WA
41216,2833,Theodore,city,AL,AL,"Mobile, AL",Mobile County,Theodore.AL
13593,2834,Roselle,city,NJ,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Union County,Roselle.NJ
27319,2836,Summit,city,NJ,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Union County,Summit.NJ
38921,2837,Haughton,city,LA,LA,"Shreveport-Bossier City, LA",Bossier Parish,Haughton.LA
32634,2838,Madison,city,IN,IN,"Madison, IN",Jefferson County,Madison.IN
46805,2839,North Plainfield,city,NJ,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Somerset County,North Plainfield.NJ
33495,2840,Port Jefferson Station,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,Port Jefferson Station.NY
32579,2841,Los Fresnos,city,TX,TX,"Brownsville-Harlingen, TX",Cameron County,Los Fresnos.TX
41317,2842,Twentynine Palms,city,CA,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,Twentynine Palms.CA
26898,2843,Saint Albans,city,WV,WV,"Charleston, WV",Kanawha County,Saint Albans.WV
18612,2844,Homer Glen,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,Homer Glen.IL
26843,2844,Rosedale,city,MD,MD,"Baltimore-Columbia-Towson, MD",Baltimore County,Rosedale.MD
37711,2846,Cameron,city,NC,NC,"Fayetteville, NC",Harnett County,Cameron.NC
24041,2847,Chapin,city,SC,SC,"Columbia, SC",Lexington County,Chapin.SC
16296,2848,Apollo Beach,city,FL,FL,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,Apollo Beach.FL
23671,2849,Benbrook,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,Benbrook.TX
27476,2850,Trotwood,city,OH,OH,"Dayton-Kettering, OH",Montgomery County,Trotwood.OH
32815,2851,Merchantville,city,NJ,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,Merchantville.NJ
126391,2852,The Crossings,city,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,The Crossings.FL
10790,2853,Chehalis,city,WA,WA,"Centralia, WA",Lewis County,Chehalis.WA
51023,2854,Blairsville,city,GA,GA,,Union County,Blairsville.GA
397869,2856,West Deptford Township,city,NJ,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,West Deptford Township.NJ
40633,2857,Rosamond,city,CA,CA,"Bakersfield, CA",Kern County,Rosamond.CA
24727,2858,Florence,city,MS,MS,"Jackson, MS",Rankin County,Florence.MS
37931,2859,Clinton,city,UT,UT,"Ogden-Clearfield, UT",Davis County,Clinton.UT
